Timestamp,City,Temperature,Humidity,Heat Index,Lat,Lon
2026-04-04 04:00:00,Mandalay,28.0,62,31.1,21.9588,96.0891
2026-04-04 05:00:00,Mandalay,27.9,62,30.8,21.9588,96.0891
2026-04-04 06:00:00,Mandalay,27.8,63,31.1,21.9588,96.0891
2026-04-04 07:00:00,Mandalay,29.0,64,33.3,21.9588,96.0891
2026-04-04 08:00:00,Mandalay,30.9,51,34.5,21.9588,96.0891
2026-04-04 09:00:00,Mandalay,33.1,41,35.9,21.9588,96.0891
2026-04-04 10:00:00,Mandalay,35.2,33,38.0,21.9588,96.0891
2026-04-04 11:00:00,Mandalay,36.9,29,40.1,21.9588,96.0891
2026-04-04 12:00:00,Mandalay,38.2,27,41.7,21.9588,96.0891
2026-04-04 13:00:00,Mandalay,39.2,24,41.9,21.9588,96.0891
2026-04-04 14:00:00,Mandalay,39.7,21,41.2,21.9588,96.0891
2026-04-04 15:00:00,Mandalay,39.8,18,39.5,21.9588,96.0891
2026-04-04 16:00:00,Mandalay,39.3,17,38.4,21.9588,96.0891
2026-04-04 17:00:00,Mandalay,38.4,18,37.9,21.9588,96.0891
2026-04-04 18:00:00,Mandalay,36.9,26,38.1,21.9588,96.0891
2026-04-04 19:00:00,Mandalay,35.3,32,37.1,21.9588,96.0891
2026-04-04 20:00:00,Mandalay,34.4,34,36.3,21.9588,96.0891
2026-04-04 21:00:00,Mandalay,33.1,36,34.6,21.9588,96.0891
2026-04-04 22:00:00,Mandalay,31.6,43,33.8,21.9588,96.0891
2026-04-04 23:00:00,Mandalay,30.5,49,33.3,21.9588,96.0891
2026-04-05 00:00:00,Mandalay,30.4,54,34.1,21.9588,96.0891
2026-04-05 01:00:00,Mandalay,30.2,53,33.2,21.9588,96.0891
2026-04-05 02:00:00,Mandalay,29.3,60,32.8,21.9588,96.0891
2026-04-05 03:00:00,Mandalay,28.6,66,32.6,21.9588,96.0891
2026-04-05 04:00:00,Mandalay,28.1,70,32.3,21.9588,96.0891
2026-04-05 05:00:00,Mandalay,27.8,72,32.5,21.9588,96.0891
2026-04-05 06:00:00,Mandalay,27.6,75,32.2,21.9588,96.0891
2026-04-05 07:00:00,Mandalay,29.2,70,33.2,21.9588,96.0891
2026-04-05 08:00:00,Mandalay,31.0,64,34.4,21.9588,96.0891
2026-04-05 09:00:00,Mandalay,32.6,56,35.5,21.9588,96.0891
2026-04-05 10:00:00,Mandalay,34.3,50,37.7,21.9588,96.0891
2026-04-05 11:00:00,Mandalay,36.2,43,40.7,21.9588,96.0891
2026-04-05 12:00:00,Mandalay,37.9,37,42.9,21.9588,96.0891
2026-04-05 13:00:00,Mandalay,39.2,30,43.2,21.9588,96.0891
2026-04-05 14:00:00,Mandalay,39.8,27,42.6,21.9588,96.0891
2026-04-05 15:00:00,Mandalay,40.0,24,41.2,21.9588,96.0891
2026-04-05 16:00:00,Mandalay,39.5,24,40.3,21.9588,96.0891
2026-04-05 17:00:00,Mandalay,38.7,25,39.3,21.9588,96.0891
2026-04-05 18:00:00,Mandalay,37.1,29,38.5,21.9588,96.0891
2026-04-05 19:00:00,Mandalay,35.2,34,37.1,21.9588,96.0891
2026-04-05 20:00:00,Mandalay,33.6,38,35.4,21.9588,96.0891
